sample_id	tumor_type	num_ssms	num_sims
1994	Lymph-BNHL	2456	199
1995	Lymph-BNHL	5326	367
1996	Lymph-BNHL	3173	221
1997	Lymph-BNHL	9265	392
1998	Lymph-BNHL	10107	655
1999	Lymph-BNHL	7527	416
2000	Lymph-BNHL	7930	852
2001	Lymph-BNHL	9272	603
2002	Lymph-BNHL	25526	1459
2003	Lymph-BNHL	5606	142
2004	Lymph-BNHL	1960	147
2005	Lymph-BNHL	3405	130
2006	Lymph-BNHL	4069	514
2007	Lymph-BNHL	4051	381
2008	Lymph-BNHL	1817	219
2009	Lymph-BNHL	2079	255
2010	Lymph-BNHL	19941	1442
2011	Lymph-BNHL	2314	278
2012	Lymph-BNHL	14010	1088
2013	Lymph-BNHL	5698	503
2014	Lymph-BNHL	4104	236
2015	Lymph-BNHL	3118	176
2016	Lymph-BNHL	4301	286
2017	Lymph-BNHL	3044	60
2018	Lymph-BNHL	6876	773
2019	Lymph-BNHL	6703	277
2020	Lymph-BNHL	28837	3382
2021	Lymph-BNHL	24425	1401
2022	Lymph-BNHL	7731	651
2023	Lymph-BNHL	9211	827
2024	Lymph-BNHL	4565	286
2025	Ovary-AdenoCA	1961	188
2026	Ovary-AdenoCA	5688	371
2027	Breast-AdenoCA	10460	1116
2028	Ovary-AdenoCA	8660	571
2029	Ovary-AdenoCA	9573	605
2030	Ovary-AdenoCA	7296	529
2031	Ovary-AdenoCA	19386	1160
2032	Ovary-AdenoCA	12217	1028
2033	Ovary-AdenoCA	6120	509
2034	Ovary-AdenoCA	6018	401
2035	Ovary-AdenoCA	4093	259
2036	Ovary-AdenoCA	3275	216
2037	Ovary-AdenoCA	9756	582
2038	Breast-AdenoCA	2368	243
2039	Ovary-AdenoCA	5473	274
2040	Ovary-AdenoCA	5107	270
2041	Ovary-AdenoCA	8197	564
2042	Ovary-AdenoCA	6594	757
2043	Ovary-AdenoCA	9087	534
2044	Breast-AdenoCA	8461	555
2045	Ovary-AdenoCA	3139	193
2046	Ovary-AdenoCA	14132	1445
2047	Ovary-AdenoCA	6680	372
2048	Ovary-AdenoCA	9686	424
2049	Ovary-AdenoCA	4260	246
2050	Ovary-AdenoCA	5569	184
2051	Ovary-AdenoCA	5949	525
2052	Ovary-AdenoCA	8024	793
2053	Breast-AdenoCA	8914	822
2054	Ovary-AdenoCA	11741	1004
2055	Ovary-AdenoCA	5515	574
2056	Ovary-AdenoCA	7570	376
2057	Breast-AdenoCA	2330	192
2058	Ovary-AdenoCA	14706	1333
2059	Ovary-AdenoCA	12087	1126
2060	Ovary-AdenoCA	11855	1266
2061	Ovary-AdenoCA	6807	448
2062	Breast-AdenoCA	23374	2418
2063	Ovary-AdenoCA	4268	373
2064	Breast-AdenoCA	4557	511
2065	Ovary-AdenoCA	10263	657
2066	Ovary-AdenoCA	7365	828
2067	Ovary-AdenoCA	13147	1515
2068	Breast-AdenoCA	1964	186
2069	Breast-AdenoCA	12018	440
2070	Breast-AdenoCA	15153	984
2071	Ovary-AdenoCA	9713	1105
2072	Ovary-AdenoCA	5353	484
2073	Ovary-AdenoCA	4588	421
2074	Ovary-AdenoCA	16429	1430
2075	Ovary-AdenoCA	4014	130
2076	Panc-AdenoCA	17709	1507
2077	Panc-AdenoCA	3917	308
2078	Panc-AdenoCA	2156	216
2079	Panc-AdenoCA	7553	502
2080	Panc-AdenoCA	4740	471
2081	Panc-AdenoCA	4086	266
2082	Panc-AdenoCA	9087	1320
2083	Panc-AdenoCA	3081	308
2084	Panc-AdenoCA	2299	217
2085	Panc-AdenoCA	9852	665
2086	Panc-AdenoCA	3846	630
2087	Panc-AdenoCA	6841	840
2088	Panc-AdenoCA	6624	867
2089	Panc-AdenoCA	5369	406
2090	Panc-AdenoCA	3742	403
2091	Panc-AdenoCA	6441	844
2092	Panc-AdenoCA	10153	392
2093	Panc-AdenoCA	5979	420
2094	Panc-AdenoCA	3245	209
2095	Panc-AdenoCA	5289	463
2096	Panc-AdenoCA	5022	713
2097	Panc-AdenoCA	6947	669
2098	Panc-AdenoCA	4358	537
2099	Panc-AdenoCA	4737	383
2100	Panc-AdenoCA	4724	467
2101	Panc-AdenoCA	6254	850
2102	Panc-AdenoCA	9787	1069
2103	Panc-AdenoCA	9420	1303
2104	Panc-AdenoCA	11559	706
2105	Panc-AdenoCA	4764	574
2106	Panc-AdenoCA	3218	373
2107	Panc-AdenoCA	8105	745
2108	Panc-AdenoCA	3697	329
2109	Breast-AdenoCA	3868	358
2110	Panc-AdenoCA	4582	466
2111	Panc-AdenoCA	1951	330
2112	Panc-AdenoCA	9175	641
2113	Panc-AdenoCA	6377	592
2114	Panc-AdenoCA	11289	2123
2115	Panc-AdenoCA	4010	375
2116	Breast-AdenoCA	2824	320
2117	Panc-AdenoCA	4669	614
2118	Panc-AdenoCA	2649	373
2119	Breast-AdenoCA	3142	189
2120	Breast-AdenoCA	13538	440
2121	Breast-LobularCA	2655	252
2122	Panc-AdenoCA	4747	453
2123	Panc-AdenoCA	3930	375
2124	Panc-AdenoCA	18538	1787
2125	Panc-AdenoCA	6568	480
2126	Panc-AdenoCA	4655	355
2127	Panc-AdenoCA	3432	266
2128	Panc-AdenoCA	5857	405
2129	Panc-AdenoCA	5155	576
2130	Panc-AdenoCA	8553	1094
2131	Panc-AdenoCA	3281	254
2132	Panc-AdenoCA	7007	569
2133	Panc-AdenoCA	9505	1379
2134	Panc-AdenoCA	5928	855
2135	Panc-AdenoCA	4320	562
2136	Panc-AdenoCA	19344	491
2137	Breast-AdenoCA	22060	849
2138	Panc-AdenoCA	3357	542
2139	Panc-AdenoCA	6430	733
2140	Panc-AdenoCA	13187	2499
2141	Panc-AdenoCA	4652	486
2142	Panc-AdenoCA	3005	121
2143	Breast-AdenoCA	9652	1246
2144	Panc-AdenoCA	3103	72
2145	Panc-AdenoCA	2349	133
2146	Panc-AdenoCA	3429	163
2147	Panc-AdenoCA	3600	235
2148	Panc-AdenoCA	5530	5469
2149	Panc-AdenoCA	7723	466
2150	Panc-AdenoCA	1958	94
2151	Panc-AdenoCA	4983	797
2152	Panc-AdenoCA	2680	133
2153	Panc-AdenoCA	2835	187
2154	CNS-Medullo	741	54
2155	CNS-Medullo	598	58
2156	CNS-Medullo	1170	180
2157	CNS-Medullo	1515	35
2158	CNS-Medullo	1729	214
2159	CNS-Medullo	1128	115
2160	CNS-Medullo	976	185
2161	CNS-Medullo	954	83
2162	CNS-Medullo	347	25
2163	CNS-Medullo	1393	98
2164	CNS-Medullo	606	53
2165	CNS-Medullo	1155	47
2166	CNS-Medullo	1729	275
2167	CNS-Medullo	1034	131
2168	CNS-Medullo	1279	195
2169	CNS-Medullo	429	54
2170	CNS-Medullo	2503	226
2171	CNS-Medullo	541	44
2172	CNS-Medullo	1349	133
2173	CNS-Medullo	84	3
2174	CNS-Medullo	2101	383
2175	CNS-Medullo	772	84
2176	CNS-Medullo	4437	328
2177	CNS-Medullo	385	28
2178	CNS-Medullo	1615	283
2179	CNS-Medullo	118	13
2180	CNS-Medullo	1107	94
2181	CNS-Medullo	348	43
2182	CNS-Medullo	216	25
2183	CNS-Medullo	2242	107
2184	CNS-Medullo	1244	115
2185	CNS-Medullo	847	160
2186	CNS-Medullo	1556	210
2187	CNS-Medullo	775	64
2188	CNS-Medullo	2335	132
2189	CNS-Medullo	1172	143
2190	CNS-Medullo	1115	85
2191	CNS-Medullo	1557	82
2192	CNS-Medullo	1773	112
2193	CNS-Medullo	339	48
2194	CNS-Medullo	657	43
2195	CNS-Medullo	376	50
2196	CNS-Medullo	776	101
2197	CNS-Medullo	442	35
2198	CNS-Medullo	1186	128
2199	CNS-Medullo	2266	140
2200	CNS-Medullo	2734	287
2201	CNS-Medullo	419	21
2202	CNS-Medullo	507	51
2203	CNS-Medullo	1157	88
2204	CNS-Medullo	4193	562
2205	CNS-Medullo	710	65
2206	CNS-Medullo	458	99
2207	CNS-Medullo	584	49
2208	CNS-Medullo	934	233
2209	CNS-Medullo	838	112
2210	CNS-Medullo	1630	182
2211	CNS-Medullo	658	38
2212	CNS-Medullo	433	107
2213	CNS-Medullo	792	127
2214	CNS-Medullo	4196	302
2215	CNS-Medullo	500	68
2216	CNS-Medullo	788	90
2217	CNS-Medullo	870	82
2218	CNS-Medullo	1125	115
2219	CNS-Medullo	292	33
2220	CNS-Medullo	897	66
2221	CNS-Medullo	927	62
2222	CNS-Medullo	1631	196
2223	CNS-Medullo	1405	345
2224	CNS-Medullo	402	19
2225	CNS-Medullo	638	102
2226	CNS-PiloAstro	120	12
2227	CNS-PiloAstro	145	4
